favorites_title	Lɔlɔ̃nuwo
collections_empty_body	Wɔ nuƒoƒu na wò wɔna si gbɔna nàdzra avɔwo, ɖoɖowo kɔ nɔnɔmeɖeɖewo ɖe ɖeka.
collections_add	Tsɔ kpe ɖe nuƒoƒu ŋu
collections_added	Wotsɔ kpe ɖe nuƒoƒu ŋu
collections_delete	Ɖe nuƒoƒu ɖa
collections_item_count	Nu %1$d
collections_fabrics	Avɔwo
collections_designs	Ɖoɖowo
collections_looks	Nɔnɔmeɖeɖewo
wardrobe_title	Nye Awuwo
wardrobe_cat_top	Dzi awu
wardrobe_cat_bottom	Anyi awu
wardrobe_cat_dress	Awu blibo
wardrobe_cat_shoes	Afɔkpa
wardrobe_cat_bag	Akotoku
wardrobe_cat_accessory	Nu kpeɖeŋu
wardrobe_add	Tsɔ awu kpe ɖe eŋu
wardrobe_name_hint	Nu ƒe ŋkɔ
wardrobe_notes_hint	Nya ŋɔŋlɔ (ne èdi)
wardrobe_empty_title	Wò awuwo le ƒuƒu
wardrobe_empty_body	Ɖe awu, afɔkpa kɔ nu kpeɖeŋu siwo le asiwò xoxo ƒe nɔnɔmeɖeɖe nàwɔ wò awuwo ƒe nuƒoƒu.
wardrobe_add_photo	Tsɔ nɔnɔmeɖeɖe kpe ɖe eŋu
wardrobe_change_photo	Trɔ nɔnɔmeɖeɖe
wardrobe_tab_items	Nuwo
wardrobe_tab_outfits	Awuɖoɖowo
outfit_builder_title	Ɖo awuɖoɖo
outfit_builder_save	Dzra awuɖoɖo ɖo
outfit_builder_name_hint	Awuɖoɖo ƒe ŋkɔ
outfit_builder_empty	Tia nu ɖeka ya teti hafi nàdzra awuɖoɖo ɖo.
outfits_empty_title	Awuɖoɖo aɖeke meli haɖe o
outfits_empty_body	Tsɔ wò awuwo ƒo ƒu wɔ awuɖoɖo blibo si nàte ŋu ado ake.
color_match_title	Amadede ƒe susuwo
color_match_subtitle	Amadede siwo wɔ ɖeka kɔ avɔ sia
color_role_complementary	Amadede si kɔtɔ
color_role_analogous	Amadede si le eteƒe
color_role_neutral	Amadede fafa
color_role_metallic	Gakpe ƒe amadede
color_why_complementary	Ele ɖoɖo ƒe akpa kemɛ — esia naa vovototo nyui.
color_why_analogous	Amadede si le eteƒe — esia naa ŋutifafa.
color_why_neutral_light	Amadede fafa kɛkɛ nana avɔ la ɖea eɖokui fia.
color_why_neutral_dark	Amadede fafa viviti tsia amadede keklẽwo teƒe.
color_why_gold	Sikawo ɖea dzoxɔxɔ ɖe avɔ sia ƒe amadedewo me.
color_why_silver	Dadeɖi ɖea fafa ɖe amadede mawo me eye wònaa wo nya kpɔna.
color_why_bronze	Akɔbli nye gakpe ƒe amadede si nɔna bɔbɔe gbesiagbe.
color_accessory_hint	Zã esiawo na afɔkpa, akotoku, sikawɔ, duku kɔ tai.
customizer_title	Trɔ ɖoɖo sia
customizer_sleeve	Abɔ
customizer_neckline	Kɔnu
customizer_length	Didime
customizer_placement	Avɔ ƒe teƒe
customizer_accent	Amadede si kɔtɔ
customizer_demo_note	Kpɔɖeŋua ɖea avɔ ƒe teƒe kɔ amadedewo fia. Lɔlɔ̃ ƒe ɖoɖoɖi siwo yia wò tɔla ƒe nyatakaka me.
custom_sleeve_default	Abe ale si wòdze ene
custom_sleeve_short	Kpuie
custom_sleeve_long	Kɛkɛ
custom_sleeve_sleeveless	Abɔ mele o
custom_sleeve_puff	Abɔ ƒoƒu
custom_neck_default	Abe ale si wòdze ene
custom_neck_round	Kɔ nɔnɔ
custom_neck_v	V-kɔ
custom_neck_high	Kɔ kɛkɛ
custom_neck_off_shoulder	Eɖe le abɔta dzi
custom_length_default	Abe ale si wòdze ene
custom_length_mini	Kpuikpui
custom_length_midi	Afɔklo dome
custom_length_maxi	Anyigba
custom_place_full	Awu blibo
custom_place_full_desc	Avɔ la tsyɔ ɖoɖo blibo la dzi.
custom_place_top	Dzi ko
custom_place_top_desc	Avɔ le dzi; anyi nye amadede ɖeka alo si kɔtɔ.
custom_place_skirt	Ete ko
custom_place_skirt_desc	Avɔ le ete; dzi nye amadede ɖeka alo si kɔtɔ.
custom_place_panels	Akpa
custom_place_panels_desc	Avɔ kɔ akpa siwo kɔtɔ dze wo yome.
custom_place_accents	Ɖeɖe sue
custom_place_accents_desc	Awu amadede ɖeka si me avɔ ƒe kɔɖiwo kɔ ɖoɖoɖi le.
tailors_title	Tɔlawo kɔ ɖoɖowɔlawo
tailors_demo_banner	Kpɔɖeŋu ƒe ŋkɔwo — kpɔɖeŋuwo ko. Yɔƒe aɖeke mele dɔwɔwɔ me kɔ dɔwɔƒe ŋutɔŋutɔ aɖeke o le version sia me.
tailor_spec_kaba	Kaba kɔ ɛɖɛ
tailor_spec_bridal	Srɔ̃ɖeɖe ƒe awu
tailor_spec_kaftan	Kaftanwo
tailor_spec_agbada	Agbada
tailor_spec_smock	Batakari
tailor_spec_suits	Afrika ƒe suitwo
tailor_hours_demo	Dzoɖa–Memleɖa, 8:00–18:00 (kpɔɖeŋu)
tailor_portfolio_demo	Àte ŋu abia dɔwɔwɔ ƒe nɔnɔmeɖeɖewo (kpɔɖeŋu).
tailor_price_budget	Aɖaŋu si le bɔbɔe
tailor_price_mid	Dome
tailor_price_premium	Premium
tailor_verified	Woɖe kpe ɖe edzi
tailor_not_verified	Womeɖe kpe ɖe edzi o
tailor_delivery	Ɛɖoa ɖa
tailor_specialties	Ɛƒe nunya
tailor_request_quote	Bi xɔ (kpɔɖeŋu)
tailor_quote_title	Dɔwɔwɔ ƒe nyatakaka
tailor_quote_body	Esia maa dɔwɔwɔ ƒe nyatakaka si nàte ŋu atsɔ aɖo ɖa na tɔla aɖeke. Ntoma meyɔa tɔlawo alo xɔa ga le version sia me o.
tailor_quote_share	Ma nyatakaka
tailor_filter_all	Katã
brief_design	Ɖoɖo: %1$s
brief_fabric	Avɔ: %1$s
brief_customizations	Tɔtrɔwo: %1$s
brief_measurements	Dzidzemewo (cm): %1$s
brief_notes	Nya ŋɔŋlɔ: %1$s
brief_notes_hint	Tsɔ nya kpe ɖe eŋu na tɔla (le kpɔɖeŋu me "wɔ abɔwo kɛkɛ wu")
brief_include_measurements	Tsɔ nye dzidzemewo kpe ɖe eŋu
brief_no_design	Wometia ɖoɖo aɖeke o
brief_no_fabric	Wometia avɔ aɖeke o
measurements_title	Nye Dzidzemewo
measurements_disclaimer	Wò ŋutɔ wò nɔnɔmewoe le afi sia, eye wodzra wo ɖo ɖe mɔ̃ sia dzi ko. Ntoma mebua ŋutilã ƒe dzidzeme o.
measurement_height	Kɔkɔme (cm)
measurement_chest	Akɔta (cm)
measurement_waist	Ali (cm)
measurement_hip	Klo (cm)
measurement_shoulder	Abɔta (cm)
measurement_sleeve	Abɔ (cm)
measurement_inseam	Afɔdome (cm)
measurement_neck	Kɔ (cm)
measurement_notes	Nya ŋɔŋlɔ na tɔlawo
measurements_saved	Wodzra dzidzemewo ɖo
result_variations	Wɔ tɔtrɔ 3 bubuwo
result_variations_progress	Emɔŋ le tɔtrɔwo wɔm… (%1$d le 3 me)
result_variations_quota	Dodokpɔ femaxe susɔwo mede tɔtrɔ 3 o.
result_compare	Tsɔ sɔ
result_compare_original	Gbãtɔ
result_compare_result	Esi do tso eme
fabric_edit_title	Trɔ avɔ
fabric_notes_hint	Nya ŋɔŋlɔ (le kpɔɖeŋu me: srɔ̃ɖeɖe ƒe avɔ)
fabric_amount_hint	Didime (cm)
fabric_wearer_hint	Ame si ado (ne èdi)
fabric_occasion_hint	Ŋkekenyui (ne èdi)
recs_not_interested	Nye metsɔ ɖeke le eme o
recs_not_interested_undone	Wogbugbɔ susu la ɖo
settings_reset_personalization	Gadze tiatia gɔme
settings_personalization_reset_done	Wogadze tiatia gɔme
search_intent_applied	Womae ɖe wò nyawo nu
settings_data_saver	Nyatakaka dzraɖo
settings_data_saver_body	Zã nɔnɔmeɖeɖe suewo eye nàdze aɖaŋu nɔnɔmeɖeɖe kɔkɔwo wɔwɔ dzi.
home_tools_title	Dɔwɔnu
tool_color_ideas	Amadede ƒe susuwo
tool_wardrobe	Nye awuwo
tool_tailors	Tɔlawo
tool_collections	Nuƒoƒuwo
profile_row_measurements	Nye dzidzemewo
profile_row_wardrobe	Nye awuwo
favorites_tab_collections	Nuƒoƒuwo
favorites_tab_tailors	Tɔlawo
analysis_ml_title	ML dzodzro si le wò mɔ̃a dzi
analysis_ml_mapped	Eɖea av fia: %1$s
analysis_ml_note	MobileNetV2 si le dɔ wɔm wò mɔ̃a dzi la gblɔa nu si wòkpɔna. Susu eveliae, menye ʋɔnudɔdrɔ̃ o, eye womedoa naneke ɖa o.
print_trait_woven_strips	Avɔba kpuikpui siwo wolɔ̃
sample_picker_title	Avɔ mele asiwò oa?
sample_picker_body	Zã avɔ siwo wona be nàtsɔ wɔ dɔ awɔ la dometɔ ɖeka nàkpɔ mɔ nyinaa.
sample_cta	Dze agbagba kple avɔ kpɔɖeŋu
brief_pdf_action	PDF agbalẽ
brief_pdf_design	Ɖoɖo
brief_pdf_fabric	Avɔ
brief_pdf_custom	Tɔtrɔwo
brief_pdf_measurements	Kɔstama ƒe dzidzemewo (cm, lɔlɔ̃dzedze)
brief_pdf_footer	Ntoma wɔ esia ɖo. Dzidzemewo nye kɔstama ŋutɔ ƒe xexlẽdzesi lɔlɔ̃dzedzewo — ka ɖe wo dzi le ame ŋutɔ ŋkume.
settings_cloud_url_hint	Cloud backend URL (ne èdi)
settings_engine_saved	Wodzra dzroɖeƒe ƒe tiatia ɖo
looks_section_title	Awu siawo ƒe foto
looks_section_caption	Nɔnɔmetata siwo míewɔ \u2014 kpɔɖeŋu ko, menye wò avɔ la ƒe foto o
look_kente_women_1	Kente kaba kple slit
look_kente_women_2	Kente ɖuɖuɣi awu
look_kente_men_1	Kente srɔ̃ɖeɖe awu
look_kente_men_2	Kente agbada
look_lace_women_1	Lace ɣi awu
look_lace_women_2	Lace ɖoɖoɖi awu
look_smock_men_1	Dziehe fugu
look_smock_men_2	Asinufɔ batakari
look_ankara_women_1	Ankara evea
look_ankara_women_2	Ankara mermaid
look_ankara_men_1	Ankara awu kple awutavɔ
look_ankara_men_2	Ankara gbesiagbe awu
looks_share_cd	Fa foto sia ɖe
notif_brief_ready_title	Tailor ƒe agbawo dzadzraɖo
notif_brief_ready_body	Wò PDF %1$s ŋuti agbawo dzadzraɖo.
fabric_fugu	Fugu (batakari avɔ)
fabric_fugu_desc	Avɔ si wɔlɔna le Ghana ƒe dziehe; zi geɖe yɔwɔ, blɔ kple ɣi.
fabric_gonja	Gonja avɔ
fabric_gonja_desc	Gonja asinufɔ avɔ; zi geɖe dɔtsɔ alo ɣi kple yɔwɔ.
wardrobe_remove_bg	Ɖe megbe ɖa
wardrobe_remove_bg_note	Enyona nyuie ne megbe le dza
contrib_title	Na avɔ foto
contrib_body	Na avɔ ŋutɔŋutɔ ƒe foto be woatrɔ dɔwɔwɔ na amewo katã. Foto la tsoa wò kaɖimasia dzi va se ɖe esime wòatsɔ wo adoe go.
contrib_category	Avɔ ƒomevi
contrib_consent	Nyee ɖe foto sia alo enye tɔnye eye meɖe mɔ be woazãe le avɔ dzedzeme ŋu nusese me
contrib_save	Ŋlɔe ɖi
contrib_saved_count	Foto %1$d le kaɖimasia dzi
contrib_export	Tsɔe do go hena hehe
contrib_photo_needed	Tia foto gbã
contrib_consent_needed	Mɔɖeɖe hiã hafi
contrib_gallery	Wò ŋutɔ wò foto
contrib_delete_cd	Ɖe foto sia ɖa
contrib_edit_category	Trɔ hatsotsoe
contrib_delete_confirm	Woaɖe foto sia ɖa?
contrib_delete_confirm_body	Woaɖe foto sia le wò kpekpeɖeŋuwo me.
contrib_duplicate	Foto sia tɔgbe li xoxo.
outfit_builder_surprise	Tia ɖeka nam
